scenario_id,ego_v,hit_point,collision,eb_intervention,dv_collision,v_mean,a_mean,a_jerk,a_min
1.0,2.7777777777777777,0.0,0.0,1.0,0.0,2.775419287211737,-8.125,20.0,-10.0
1.0,4.166666666666667,0.0,1.0,1.0,1.916666666666667,4.157738095238092,-7.857142857142857,10.0,-10.0
1.0,5.555555555555555,0.0,0.0,1.0,0.0,5.398775894538599,-8.846153846153847,20.0,-10.0
1.0,6.944444444444445,0.0,1.0,1.0,4.694444444444445,6.9013409961685905,-7.857142857142857,10.0,-10.0
1.0,8.333333333333334,0.0,1.0,1.0,6.583333333333334,8.311781609195394,-7.5,10.0,-10.0
1.0,9.722222222222221,0.0,1.0,1.0,9.722222222222221,9.722222222222223,0.0,0.0,0.0
1.0,11.11111111111111,0.0,1.0,1.0,9.86111111111111,11.089924670433131,-7.0,10.0,-10.0
1.0,12.5,0.0,1.0,1.0,12.5,12.5,0.0,0.0,0.0
1.0,13.88888888888889,0.0,1.0,1.0,11.63888888888889,13.780555555555571,-7.857142857142857,10.0,-10.0
1.0,15.277777777777777,0.0,1.0,1.0,14.027777777777777,15.256591337099831,-7.0,10.0,-10.0
1.0,16.666666666666668,0.0,1.0,1.0,16.666666666666668,16.666666666666654,0.0,0.0,0.0
1.0,2.7777777777777777,10.0,0.0,1.0,0.0,2.6095959595959566,-8.125,20.0,-10.0
1.0,4.166666666666667,10.0,0.0,1.0,0.0,4.144345238095235,-8.5,20.0,-10.0
1.0,5.555555555555555,10.0,1.0,1.0,3.3055555555555554,5.533625730994145,-7.857142857142857,10.0,-10.0
1.0,6.944444444444445,10.0,1.0,1.0,3.6944444444444446,6.834274952919029,-8.333333333333334,10.0,-10.0
1.0,8.333333333333334,10.0,1.0,1.0,6.583333333333334,8.311781609195394,-7.5,10.0,-10.0
1.0,9.722222222222221,10.0,1.0,1.0,6.472222222222221,9.612052730696798,-8.333333333333334,10.0,-10.0
1.0,11.11111111111111,10.0,1.0,1.0,7.361111111111111,10.902777777777764,-8.5,10.0,-10.0
1.0,12.5,10.0,1.0,1.0,11.25,12.478813559322035,-7.0,10.0,-10.0
1.0,13.88888888888889,10.0,1.0,1.0,10.63888888888889,13.734722222222238,-8.333333333333334,10.0,-10.0
1.0,15.277777777777777,10.0,1.0,1.0,11.527777777777777,15.069444444444464,-8.5,10.0,-10.0
1.0,16.666666666666668,10.0,1.0,1.0,13.416666666666668,16.512499999999985,-8.333333333333334,10.0,-10.0
1.0,2.7777777777777777,20.0,0.0,1.0,0.0,2.612599206349203,-8.125,20.0,-10.0
1.0,4.166666666666667,20.0,0.0,1.0,0.0,4.092105263157891,-8.5,20.0,-10.0
1.0,5.555555555555555,20.0,0.0,1.0,0.0,5.219489981785057,-8.846153846153847,20.0,-10.0
1.0,6.944444444444445,20.0,0.0,1.0,0.0,6.186752136752145,-9.0625,20.0,-10.0
1.0,8.333333333333334,20.0,1.0,1.0,6.083333333333334,8.261299435028242,-7.857142857142857,10.0,-10.0
1.0,9.722222222222221,20.0,1.0,1.0,5.472222222222221,9.513888888888888,-8.636363636363637,10.0,-10.0
